"Date","Open","High","Low","Close","Volume"
"2020-09-11",91.5199966430664,92.42949676513672,89.04000091552734,89.69999694824219,32726747
"2020-09-04",94.12000274658203,96.01000213623047,90.5801010131836,91.87000274658203,53255992
"2020-08-28",94.9000015258789,95.23500061035156,92.94000244140625,94.16999816894531,26706620
"2020-08-21",95.29000091552734,97.41999816894531,94.31999969482422,94.86000061035156,31547929
"2020-08-14",92.62999725341797,95.66999816894531,92.12999725341797,95.06999969482422,34030791
"2020-08-07",95.19000244140625,97.16999816894531,91.77999877929688,92.91999816894531,34214594
"2020-07-31",96.3499984741211,97.88999938964844,93.55000305175781,94.91000366210938,37510435
"2020-07-24",100.76000213623047,101.25,96.45999908447266,97.11000061035156,27802301
"2020-07-17",97.36000061035156,101.27999877929688,95.94000244140625,100.83000183105469,32100462
"2020-07-10",99.63999938964844,100.69000244140625,96.36000061035156,96.83000183105469,31559061
"2020-07-02",96.5,99.98999786376953,95.68000030517578,98.87999725341797,27470603
"2020-06-26",96.63999938964844,99.0999984741211,94.31999969482422,96.12999725341797,42725201
"2020-06-19",91.2699966430664,98.19999694824219,90.77999877929688,96.70999908447266,36487249
"2020-06-12",92.91000366210938,99.34739685058594,91.02999877929688,92.45999908447266,47910405
"2020-06-05",92.05000305175781,95.54000091552734,89.5999984741211,93.8499984741211,45643868
"2020-05-29",93.44999694824219,93.56999969482422,88.55999755859375,92.66999816894531,46947099
"2020-05-22",92.,93.66000366210938,89.55999755859375,92.0999984741211,52757149
"2020-05-15",85.08000183105469,92.23999786376953,83.9800033569336,90.70999908447266,93725394
"2020-05-08",82.22000122070312,88.1449966430664,81.12000274658203,83.95999908447266,66934645
"2020-05-01",84.02999877929688,85.97000122070312,80.5,82.83999633789062,54023562
"2020-04-24",83.54000091552734,85.32990264892578,80.0199966430664,83.58999633789062,40428314
"2020-04-17",80.66000366210938,84.79000091552734,78.66000366210938,83.44999694824219,50405407
"2020-04-09",75.73999786376953,80.08000183105469,74.02999877929688,79.75,43502592
"2020-04-03",73.5199966430664,77.91999816894531,71.43000030517578,73.37000274658203,60241993
"2020-03-27",67.37999725341797,75.05999755859375,62.54999923706055,72.66999816894531,85891113
"2020-03-20",79.,82.18000030517578,64.68499755859375,68.81999969482422,106418215
"2020-03-13",84.,88.22000122070312,77.05999755859375,85.37000274658203,80961182
"2020-03-06",86.,91.86000061035156,83.55000305175781,88.81999969482422,63775262
"2020-02-28",92.16999816894531,93.87000274658203,81.58000183105469,85.70999908447266,64504917
"2020-02-21",93.66999816894531,95.51830291748047,92.58999633789062,94.95999908447266,27880251
"2020-02-14",92.36000061035156,97.86000061035156,92.11000061035156,94.05000305175781,57060809
"2020-02-07",81.30999755859375,92.9800033569336,80.91999816894531,92.29000091552734,55278475
"2020-01-31",85.05000305175781,85.93000030517578,80.40989685058594,81.0199966430664,52891264
"2020-01-24",87.68000030517578,88.52999877929688,82.76000213623047,83.54000091552734,45473198
"2020-01-17",89.5,89.87999725341797,86.7699966430664,88.,43861977
"2020-01-10",88.22000122070312,90.29000091552734,87.9800033569336,89.05999755859375,37843161
"2020-01-03",89.22000122070312,89.7300033569336,87.87999725341797,88.69999694824219,22870991
"2019-12-27",89.52999877929688,90.72000122070312,88.83000183105469,89.19999694824219,15862048
"2019-12-20",88.37999725341797,91.98999786376953,88.26000213623047,89.29000091552734,46547538
